event_title,Count
WRECKED,62
FIST,32
BOUND BLACKOUT,25
ALTÆR,22
BALANCE,15
X-TRA.SERVICES,9
HERRENSAUNA,8
MALA JUNTA,6
BASEMENT ANNIVERSARY,6
PORNCEPTUAL,5
DWELLER,4
BASSIANI,3
LOCALS NIGHT,3
MORD NIGHT,3
aufnahme + wiedergabe,3
THE BUNKER,3
TRESOR NIGHT,2
MUTUAL RYTM NIGHT,2
FAST FORWARD NIGHT,2
L.I.E.S. NIGHT,2
STAUB,2
UNITED WE STREAM,2
SPIELRAUM,1
BULTO,1
VAULT SESSIONS,1
MAMA TOLD YA,1
rural,1
BCCO,1
SPANDAU20 NIGHT,1
RECLAIM YOUR CITY,1
BITE NITE,1
VESELKA,1
EXALT,1
POSSESSION,1
SONIC GROOVE NIGHT,1
BITE NIGHT,1
QUA VADIS,1
LOCALS NIGHT: Joey Beltram/ Rose Kourts/ SisterZo/ Markus/ Servito/ L.Flax/ Meilgaarden & more,1
Locals Night: Volvox/ Dominga/ KYRUH/ Annie Lew/ x3butterfly/ Eli/ Kilopatrah /Sterling /Alexis,1
Vault Sessions: Lobster/ LYDO/ Mike Servito/ Shaun J. Wright/ Physical Therapy,1
Daniel Avery/ Justine Perry/ LYDO/ Por Detroit: Zombies In Miami /PerfectLovers/VictorRodriguez,1
Regal/ Mos/ Memphy/ Por Detroit: Perfect Lovers b2b Victor Rodriguez/ Manu Miran/ x3butterfly,1
Mutual Rytm Night: SHDW/ RUIZ OSC1/ Selective Response/ Kevin Aviance/ JADALAREIGN/Jason Kendig,1
Kangding Ray/ Clarisa Kimskii/ Ne/Re/A/ Connor Wrong/ Tama Sumo/ Lakuti/ Mike Servito/ CHOQUE,1
Pornceptual,1
LYDO/ KYRUH/ DAIYAH/ Concrete Husband/ Massimiliano Pagliara/ Tama Sumo/ Lakuti/ x3butterfly,1
New York Trax x Voitax,1
Cxema Backstage,1
FOURTH WORLD,1
"Horse Meat Disco NYC Pride w/ Steffi, Aurora Halal",1
